cut off: adjusted p-value<0.05 und absolute log2FC>1						
Gene ID	Average read counts per gene across all replicates	log2(FC)	P-value	P-adj	Gene symbol	Gene name
ENSG00000171408	9.48781677	1.026787868	0.005872771	0.039195983	PDE7B	phosphodiesterase 7B
ENSG00000130303	26.89259433	-1.039504124	0.005950889	0.039613618	BST2	bone marrow stromal cell antigen 2
ENSG00000196074	5.470199804	1.01242761	0.006091478	0.040255157	SYCP2	synaptonemal complex protein 2
ENSG00000155066	335.6329495	1.031067693	0.006451669	0.04208615	PROM2	prominin 2
ENSG00000166432	5.450514769	1.026486556	0.006639886	0.043069328	ZMAT1	zinc finger matrin-type 1
ENSG00000231389	6.248311323	-1.003078423	0.006823573	0.043930255	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
ENSG00000079215	277.8232675	1.004312654	0.006834564	0.043968178	SLC1A3	solute carrier family 1 member 3
ENSG00000179388	16.81756255	-1.019557269	0.007125734	0.045350603	EGR3	early growth response 3
ENSG00000164120	14.66995127	1.010340074	0.007602091	0.047609029	HPGD	15-hydroxyprostaglandin dehydrogenase
ENSG00000134955	109.4140192	1.004025126	0.007721694	0.048148184	SLC37A2	solute carrier family 37 member 2
ENSG00000251059	5.659464298	1.010117194	0.00774918	0.048267201	RP11-100N20.1	
ENSG00000153956	8.578899856	1.004889509	0.008014611	0.04965142	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1
